Date : 2021-02-27 19:04:41
Directory : c:\Users\vardy\OneDrive\GardenHouse\Assets
Total : 1232 files,  212424 codes, 39564 comments, 40969 blanks, all 292957 lines

Languages
+-----------+------------+------------+------------+------------+------------+
| language  | files      | code       | comment    | blank      | total      |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\Oculus\SampleFramework\Core\HandsInteraction\Scripts\Tools\FingerTipPokeToolView.cs                  | C#        |         31 |         14 |          9 |         54 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\Oculus\SampleFramework\Core\HandsInteraction\Scripts\Tools\InteractableTool.cs                       | C#        |        135 |         46 |         30 |        211 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\Oculus\SampleFramework\Core\HandsInteraction\Scripts\Tools\InteractableToolView.cs                   | C#        |         10 |         14 |          3 |         27 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\Oculus\SampleFramework\Core\HandsInteraction\Scripts\Tools\PinchStateModule.cs                       | C#        |         91 |         19 |         11 |        121 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\Oculus\SampleFramework\Core\HandsInteraction\Scripts\Tools\RayTool.cs                                | C#        |        250 |         49 |         50 |        349 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\Oculus\SampleFramework\Core\HandsInteraction\Scripts\Tools\RayToolView.cs                            | C#        |         91 |         24 |         17 |        132 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\Oculus\SampleFramework\Core\HandsInteraction\Shaders\OculusSampleAlphaHandOutline.shader             | ShaderLab |         81 |         19 |         19 |        119 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\Oculus\SampleFramework\Core\Locomotion\Materials\ColumnGlow.shader                                   | ShaderLab |         60 |         12 |         14 |         86 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\Oculus\SampleFramework\Core\Locomotion\Scripts\CharacterCameraConstraint.cs                          | C#        |        105 |         78 |         26 |        209 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\Oculus\SampleFramework\Core\Locomotion\Scripts\Editor\TeleportTransitionWarpInspector.cs             | C#        |         47 |          8 |          7 |         62 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\Oculus\SampleFramework\Core\Locomotion\Scripts\LocomotionController.cs                               | C#        |         25 |         25 |          4 |         54 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\Oculus\SampleFramework\Core\Locomotion\Scripts\LocomotionTeleport.cs                                 | C#        |        428 |        319 |        112 |        859 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\Oculus\SampleFramework\Core\Locomotion\Scripts\SimpleCapsuleWithStickMovement.cs                     | C#        |         83 |          1 |         18 |        102 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\Oculus\SampleFramework\Core\Locomotion\Scripts\TeleportAimHandler.cs                                 | C#        |         20 |         29 |          5 |         54 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\Oculus\SampleFramework\Core\Locomotion\Scripts\TeleportAimHandlerLaser.cs                            | C#        |         15 |         15 |          4 |         34 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\Oculus\SampleFramework\Core\Locomotion\Scripts\TeleportAimHandlerParabolic.cs                        | C#        |         35 |         30 |         12 |         77 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\Oculus\SampleFramework\Core\Locomotion\Scripts\TeleportAimVisualLaser.cs                             | C#        |         56 |         18 |         12 |         86 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\Oculus\SampleFramework\Core\Locomotion\Scripts\TeleportDestination.cs                                | C#        |        104 |         36 |         24 |        164 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\Oculus\SampleFramework\Core\Locomotion\Scripts\TeleportInputHandler.cs                               | C#        |         51 |         34 |         11 |         96 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\Oculus\SampleFramework\Core\Locomotion\Scripts\TeleportInputHandlerHMD.cs                            | C#        |         48 |         35 |         14 |         97 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\Oculus\SampleFramework\Core\Locomotion\Scripts\TeleportInputHandlerTouch.cs                          | C#        |        180 |         61 |         31 |        272 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\Oculus\SampleFramework\Core\Locomotion\Scripts\TeleportOrientationHandler.cs                         | C#        |         56 |         25 |         14 |         95 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\Oculus\SampleFramework\Core\Locomotion\Scripts\TeleportOrientationHandler360.cs                      | C#        |         12 |         13 |          4 |         29 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\Oculus\SampleFramework\Core\Locomotion\Scripts\TeleportOrientationHandlerHMD.cs                      | C#        |         48 |         31 |         17 |         96 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\Oculus\SampleFramework\Core\Locomotion\Scripts\TeleportOrientationHandlerThumbstick.cs               | C#        |         79 |         20 |         14 |        113 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\Oculus\SampleFramework\Core\Locomotion\Scripts\TeleportPoint.cs                                      | C#        |         23 |         12 |         16 |         51 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\Oculus\SampleFramework\Core\Locomotion\Scripts\TeleportSupport.cs                                    | C#        |         36 |         28 |          9 |         73 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\Oculus\SampleFramework\Core\Locomotion\Scripts\TeleportTargetHandler.cs                              | C#        |         76 |         47 |         20 |        143 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\Oculus\SampleFramework\Core\Locomotion\Scripts\TeleportTargetHandlerNavMesh.cs                       | C#        |         55 |         30 |         12 |         97 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\Oculus\SampleFramework\Core\Locomotion\Scripts\TeleportTargetHandlerNode.cs                          | C#        |         28 |         26 |          7 |         61 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\Oculus\SampleFramework\Core\Locomotion\Scripts\TeleportTargetHandlerPhysical.cs                      | C#        |         17 |         20 |          4 |         41 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\Oculus\SampleFramework\Core\Locomotion\Scripts\TeleportTransition.cs                                 | C#        |         16 |         21 |          5 |         42 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\Oculus\SampleFramework\Core\Locomotion\Scripts\TeleportTransitionBlink.cs                            | C#        |         36 |         33 |          9 |         78 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\Oculus\SampleFramework\Core\Locomotion\Scripts\TeleportTransitionInstant.cs                          | C#        |          9 |         15 |          3 |         27 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\Oculus\SampleFramework\Core\Locomotion\Scripts\TeleportTransitionWarp.cs                             | C#        |         30 |         30 |          6 |         66 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\Oculus\SampleFramework\Core\TouchControllers\TouchController.cs                                      | C#        |         39 |         11 |          9 |         59 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\Oculus\SampleFramework\Core\Video\Editor\AndroidVideoEditorUtil.cs                                   | C#        |        199 |         20 |         46 |        265 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\Oculus\SampleFramework\Core\Video\Editor\MediaPlayerImageEditor.cs                                   | C#        |         21 |          5 |          7 |         33 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\Oculus\SampleFramework\Core\Video\Plugins\Android\NativeVideoPlayer.cs                               | C#        |        223 |          5 |         40 |        268 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\Oculus\SampleFramework\Core\Video\Scripts\ButtonDownListener.cs                                      | C#        |         15 |          5 |          3 |         23 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\Oculus\SampleFramework\Core\Video\Scripts\MediaPlayerImage.cs                                        | C#        |        142 |          5 |         19 |        166 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\Oculus\SampleFramework\Core\Video\Scripts\MoviePlayerSample.cs                                       | C#        |        294 |         26 |         39 |        359 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\Oculus\SampleFramework\Core\Video\Scripts\MoviePlayerSampleControls.cs                               | C#        |        197 |         13 |         29 |        239 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\Oculus\SampleFramework\Core\Video\Scripts\VectorUtil.cs                                              | C#        |          9 |          5 |          4 |         18 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\Oculus\SampleFramework\Core\Video\Shaders\Multiview Stereo.shader                                    | ShaderLab |         56 |          1 |         12 |         69 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\Oculus\SampleFramework\Editor\BuildAssetPackages.cs                                                  | C#        |         34 |          0 |          4 |         38 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\Oculus\SampleFramework\Editor\OculusSampleFrameworkUtil.cs                                           | C#        |         30 |         15 |          5 |         50 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\Oculus\SampleFramework\Usage\DebugUI\DebugUISample.cs                                                | C#        |         57 |          1 |          8 |         66 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\Oculus\SampleFramework\Usage\DistanceGrab\Materials\CrosshairZCheat.shader                           | ShaderLab |         53 |          2 |         10 |         65 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\Oculus\SampleFramework\Usage\DistanceGrab\Materials\ToyCubeWithOutline.shader                        | ShaderLab |         61 |         12 |         14 |         87 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\Oculus\SampleFramework\Usage\DistanceGrab\Scripts\DistanceGrabberSample.cs                           | C#        |         59 |         13 |         10 |         82 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\Oculus\SampleFramework\Usage\HandsTrainExample\Scripts\ControllerBoxController.cs                    | C#        |         71 |         10 |         11 |         92 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\Oculus\SampleFramework\Usage\HandsTrainExample\Scripts\CowController.cs                              | C#        |         25 |          8 |          6 |         39 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\Oculus\SampleFramework\Usage\HandsTrainExample\Scripts\HandsActiveChecker.cs                         | C#        |         44 |         10 |          9 |         63 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\Oculus\SampleFramework\Usage\HandsTrainExample\Scripts\PanelHMDFollower.cs                           | C#        |         60 |         14 |         14 |         88 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\Oculus\SampleFramework\Usage\HandsTrainExample\Scripts\SelectionCylinder.cs                          | C#        |         75 |         10 |         12 |         97 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\Oculus\SampleFramework\Usage\HandsTrainExample\Scripts\TrackSegment.cs                               | C#        |        186 |         29 |         22 |        237 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\Oculus\SampleFramework\Usage\HandsTrainExample\Scripts\TrainButtonVisualController.cs                | C#        |        144 |         22 |         26 |        192 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\Oculus\SampleFramework\Usage\HandsTrainExample\Scripts\TrainCar.cs                                   | C#        |         25 |         10 |          6 |         41 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\Oculus\SampleFramework\Usage\HandsTrainExample\Scripts\TrainCarBase.cs                               | C#        |         64 |         12 |         17 |         93 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\Oculus\SampleFramework\Usage\HandsTrainExample\Scripts\TrainCrossingController.cs                    | C#        |        118 |         11 |         21 |        150 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\Oculus\SampleFramework\Usage\HandsTrainExample\Scripts\TrainLocomotive.cs                            | C#        |        228 |         12 |         42 |        282 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\Oculus\SampleFramework\Usage\HandsTrainExample\Scripts\TrainTrack.cs                                 | C#        |         85 |         11 |         15 |        111 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\Oculus\SampleFramework\Usage\HandsTrainExample\Scripts\Utils\Pose.cs                                 | C#        |         19 |         10 |          5 |         34 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\Oculus\SampleFramework\Usage\HandsTrainExample\Scripts\WindmillBladesController.cs                   | C#        |         86 |         11 |         18 |        115 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\Oculus\SampleFramework\Usage\HandsTrainExample\Scripts\WindmillController.cs                         | C#        |         63 |         10 |         12 |         85 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\Oculus\SampleFramework\Usage\HandsTrainExample\Shaders\ButtonGlow.shader                             | ShaderLab |         39 |         10 |         10 |         59 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\Oculus\SampleFramework\Usage\HandsTrainExample\Shaders\GradientSkybox.shader                         | ShaderLab |         59 |         13 |         10 |         82 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\Oculus\SampleFramework\Usage\HandsTrainExample\Shaders\OculusSampleTrainPropsShader.shader           | ShaderLab |         42 |         13 |          9 |         64 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\Oculus\SampleFramework\Usage\HandsTrainExample\Shaders\OculusSampleTrainSmokeShader.shader           | ShaderLab |         60 |         14 |         10 |         84 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\Oculus\SampleFramework\Usage\HandsTrainExample\Shaders\XingLightShader.shader                        | ShaderLab |         50 |         10 |          9 |         69 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\Oculus\SampleFramework\Usage\HandsTrainExample\Textures\XingLight.svg                                | XML       |         97 |          1 |          2 |        100 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\Oculus\SampleFramework\Usage\Locomotion\Scripts\CharacterCapsule.cs                                  | C#        |        164 |         21 |         35 |        220 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\Oculus\SampleFramework\Usage\Locomotion\Scripts\LocomotionSampleSupport.cs                           | C#        |        188 |         66 |         32 |        286 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\Oculus\SampleFramework\Usage\Locomotion\Shaders\TriPlanarWorld.shader                                | ShaderLab |         45 |         14 |         12 |         71 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\Oculus\SampleFramework\Usage\OVROverlayCanvas\Editor\OVROverlayCanvasEditor.cs                       | C#        |        114 |         16 |         18 |        148 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\Oculus\SampleFramework\Usage\OVROverlayCanvas\Scripts\OVROverlayCanvas.cs                            | C#        |        238 |         26 |         50 |        314 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\Oculus\SampleFramework\Usage\OVROverlayCanvas\Shaders\UI Default Correct.shader                      | ShaderLab |         95 |          1 |         19 |        115 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\Oculus\SampleFramework\Usage\OVROverlayCanvas\Shaders\UI Prerendered Opaque.shader                   | ShaderLab |         53 |          0 |         10 |         63 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\Oculus\SampleFramework\Usage\OVROverlayCanvas\Shaders\UI Prerendered.shader                          | ShaderLab |         49 |          5 |         12 |         66 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\Oculus\SampleFramework\Usage\OVROverlay\Scripts\OVROverlaySample.cs                                  | C#        |        235 |         92 |         48 |        375 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\Oculus\SampleFramework\Usage\StartScene\Scripts\StartMenu.cs                                         | C#        |         29 |          1 |          6 |         36 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\Oculus\SampleFramework\Usage\Stereo180Video\README.md                                                | Markdown  |          7 |          0 |          2 |          9 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\Oculus\Spatializer\editor\ONSPAudioPluginUpdater.cs                                                  | C#        |        270 |         26 |         30 |        326 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\Oculus\Spatializer\editor\ONSPAudioPluginUpdaterStub.cs                                              | C#        |          5 |         22 |          3 |         30 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\Oculus\Spatializer\editor\ONSPAudioSourceEditor.cs                                                   | C#        |         55 |         26 |         20 |        101 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\Oculus\Spatializer\editor\ONSPPropagationGeometryEditor.cs                                           | C#        |         72 |         25 |         25 |        122 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\Oculus\Spatializer\editor\ONSPPropagationMaterialEditor.cs                                           | C#        |        333 |         21 |        213 |        567 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\Oculus\Spatializer\editor\ONSPPropagationSerializationManager.cs                                     | C#        |         72 |         20 |         12 |        104 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\Oculus\Spatializer\editor\ONSPReflectionCustomGUI.cs                                                 | C#        |         99 |         24 |         22 |        145 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\Oculus\Spatializer\scenes\Standard Assets\Character Controllers\Sources\Scripts\MouseLook.cs         | C#        |         39 |         12 |         13 |         64 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\Oculus\Spatializer\scripts\ONSPAmbisonicsNative.cs                                                   | C#        |        107 |         38 |         20 |        165 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\Oculus\Spatializer\scripts\ONSPAudioSource.cs                                                        | C#        |        257 |         64 |         44 |        365 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\Oculus\Spatializer\scripts\ONSPProfiler.cs                                                           | C#        |         29 |         21 |          7 |         57 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\Oculus\Spatializer\scripts\ONSPPropagationGeometry.cs                                                | C#        |        471 |         98 |        106 |        675 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\Oculus\Spatializer\scripts\ONSPPropagationInterface.cs                                               | C#        |        436 |         69 |         69 |        574 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\Oculus\Spatializer\scripts\ONSPPropagationMaterial.cs                                                | C#        |        450 |         40 |        127 |        617 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\Oculus\Spatializer\scripts\ONSPPropagationSettings.cs                                                | C#        |         11 |         21 |          4 |         36 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\Oculus\Spatializer\scripts\ONSPSettings.cs                                                           | C#        |         37 |          4 |          7 |         48 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\Oculus\Spatializer\scripts\ONSPVersion.cs                                                            | C#        |         25 |         30 |          9 |         64 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\Oculus\Spatializer\scripts\OculusSpatializerUnity.cs                                                 | C#        |        255 |         28 |         61 |        344 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\Oculus\Spatializer\scripts\helpers\ONSPReflectionZone.cs                                             | C#        |         82 |         62 |         21 |        165 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\Oculus\VR\Editor\AndroidManifest.OVRSubmission.xml                                                   | XML       |         21 |          0 |          1 |         22 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\Oculus\VR\Editor\OVRADBTool.cs                                                                       | C#        |        190 |         24 |         49 |        263 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\Oculus\VR\Editor\OVRBuild.cs                                                                         | C#        |        547 |         62 |         93 |        702 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\Oculus\VR\Editor\OVRBundleManager.cs                                                                 | C#        |        520 |         53 |         77 |        650 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\Oculus\VR\Editor\OVRBundleTool.cs                                                                    | C#        |        472 |         11 |         60 |        543 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\Oculus\VR\Editor\OVRConfig.cs                                                                        | C#        |        158 |         10 |         21 |        189 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\Oculus\VR\Editor\OVRDeviceSelector.cs                                                                | C#        |         30 |         20 |          4 |         54 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\Oculus\VR\Editor\OVRDirectorySyncer.cs                                                               | C#        |        181 |         28 |         34 |        243 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\Oculus\VR\Editor\OVREngineConfigurationUpdater.cs                                                    | C#        |        210 |         30 |         37 |        277 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\Oculus\VR\Editor\OVRExpansionFileGenerator.cs                                                        | C#        |         81 |          6 |         10 |         97 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\Oculus\VR\Editor\OVRGradleGeneration.cs                                                              | C#        |        380 |         36 |         45 |        461 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\Oculus\VR\Editor\OVRLayerAttributeEditor.cs                                                          | C#        |          9 |         21 |          3 |         33 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\Oculus\VR\Editor\OVRLint.cs                                                                          | C#        |        741 |         74 |        100 |        915 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\Oculus\VR\Editor\OVRManifestPreprocessor.cs                                                          | C#        |        244 |         36 |         35 |        315 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\Oculus\VR\Editor\OVRPlatformTool.cs                                                                  | C#        |      1,000 |         58 |        165 |      1,223 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\Oculus\VR\Editor\OVRPlatformToolSettings.cs                                                          | C#        |        446 |         13 |         46 |        505 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\Oculus\VR\Editor\OVRPluginUpdater.cs                                                                 | C#        |        755 |         28 |        128 |        911 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\Oculus\VR\Editor\OVRPluginUpdaterStub.cs                                                             | C#        |          5 |         22 |          3 |         30 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\Oculus\VR\Editor\OVRProjectConfig.cs                                                                 | C#        |        104 |         28 |         15 |        147 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\Oculus\VR\Editor\OVRScreenshotWizard.cs                                                              | C#        |        151 |         48 |         18 |        217 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\Oculus\VR\Editor\OVRShaderBuildProcessor.cs                                                          | C#        |         45 |          1 |          9 |         55 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\Oculus\VR\Editor\OVRSystemProfilerPanel.cs                                                           | C#        |        566 |         25 |         95 |        686 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\Oculus\VR\Editor\PathHelper.cs                                                                       | C#        |         21 |          0 |          6 |         27 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\Oculus\VR\Editor\network_sec_config.xml                                                              | XML       |          4 |          0 |          1 |          5 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\Oculus\VR\Resources\Cubemap Blit.shader                                                              | ShaderLab |         59 |          2 |         15 |         76 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\Oculus\VR\Resources\OVRMRCameraFrame.shader                                                          | ShaderLab |         88 |          0 |         12 |        100 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\Oculus\VR\Resources\OVRMRCameraFrameLit.shader                                                       | ShaderLab |         96 |          2 |         15 |        113 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\Oculus\VR\Resources\OVRMRChromaKey.cginc                                                             | HLSL      |         88 |          3 |         13 |        104 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\Oculus\VR\Resources\OVRMRUnlit.shader                                                                | ShaderLab |         40 |          0 |          8 |         48 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\Oculus\VR\Resources\OVRMRUnlitTransparent.shader                                                     | ShaderLab |         45 |          0 |          9 |         54 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\Oculus\VR\Resources\Texture2D Blit.shader                                                            | ShaderLab |         54 |          0 |         11 |         65 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\Oculus\VR\Resources\Underlay Impostor.shader                                                         | ShaderLab |         31 |         10 |          8 |         49 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\Oculus\VR\Resources\Underlay Transparent Occluder.shader                                             | ShaderLab |         26 |          5 |          6 |         37 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\Oculus\VR\Resources\Unlit Transparent Color.shader                                                   | ShaderLab |         14 |          0 |          4 |         18 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\Oculus\VR\Scripts\Composition\OVRCameraComposition.cs                                                | C#        |        248 |         16 |         38 |        302 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\Oculus\VR\Scripts\Composition\OVRComposition.cs                                                      | C#        |         72 |         11 |         19 |        102 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\Oculus\VR\Scripts\Composition\OVRCompositionUtil.cs                                                  | C#        |        131 |         12 |         22 |        165 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\Oculus\VR\Scripts\Composition\OVRDirectComposition.cs                                                | C#        |        132 |         12 |         24 |        168 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\Oculus\VR\Scripts\Composition\OVRExternalComposition.cs                                              | C#        |        416 |         18 |         63 |        497 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\Oculus\VR\Scripts\Composition\OVRSandwichComposition.cs                                              | C#        |          3 |          1 |          1 |          5 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\Oculus\VR\Scripts\Editor\OVRCustomSkeletonEditor.cs                                                  | C#        |        104 |         12 |          9 |        125 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\Oculus\VR\Scripts\Editor\OVREditorUtil.cs                                                            | C#        |        142 |          0 |         18 |        160 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\Oculus\VR\Scripts\Editor\OVRManagerEditor.cs                                                         | C#        |        108 |         11 |         25 |        144 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\Oculus\VR\Scripts\Editor\OVROverlayDestRectEditor.shader                                             | ShaderLab |        128 |         11 |         24 |        163 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\Oculus\VR\Scripts\Editor\OVROverlayEditor.cs                                                         | C#        |        498 |          7 |         79 |        584 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\Oculus\VR\Scripts\Editor\OVROverlaySrcRectEditor.shader                                              | ShaderLab |        106 |         11 |         22 |        139 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\Oculus\VR\Scripts\Editor\OVRProjectConfigEditor.cs                                                   | C#        |         78 |          6 |         20 |        104 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\Oculus\VR\Scripts\OVRBoundary.cs                                                                     | C#        |        157 |         49 |         26 |        232 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\Oculus\VR\Scripts\OVRCameraRig.cs                                                                    | C#        |        303 |         74 |         66 |        443 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\Oculus\VR\Scripts\OVRCommon.cs                                                                       | C#        |        490 |         77 |         95 |        662 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\Oculus\VR\Scripts\OVRDebugHeadController.cs                                                          | C#        |         92 |         28 |         16 |        136 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\Oculus\VR\Scripts\OVRDisplay.cs                                                                      | C#        |        240 |         92 |         52 |        384 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\Oculus\VR\Scripts\OVRHaptics.cs                                                                      | C#        |        274 |         55 |         56 |        385 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\Oculus\VR\Scripts\OVRHapticsClip.cs                                                                  | C#        |         96 |         42 |         23 |        161 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\Oculus\VR\Scripts\OVRHeadsetEmulator.cs                                                              | C#        |        137 |         13 |         28 |        178 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\Oculus\VR\Scripts\OVRInput.cs                                                                        | C#        |      2,567 |        210 |        352 |      3,129 |
